FlowersCarlos.jpg,carloscanto,Carlos,Canto,ccanto@gmail.com,222222,(415) 976-6612,flower_shop_SIGN.jpg,flowers_carlos_wall.jpg,"Hi! My name is Carlos. I have owned Flowers By Carlos on Valencia and Dubuce for almost 20 years. We are a family owned local business as I run the shop with my wife and my son. I am interested in both utilizing Ad Collab to promote my business and also interested in leasing out the wall space on the north-facing side of my shop."
user_thrift.jpg,sjannex9,Sheyna,Jannex,pqotextemail@gmail.com,ZGkAlgIvUIlm,(602) 800-1704,Sheynas_thrift_wall.jpg,Sheynas_thrift_wall.jpg,"Hello! My name is Sheyna. I own a thift shop on the corner of 14th and Valencia- across the street from the Chase bank and next to the Flower Market Grocery. I am very interested in leasing out the back wall of my building as it has plenty of space to leverage for local patrons. Send in a Request if you're interested!"
user_cafe.jpg,awadly3,Ardine,Wadly,awadly3@a8.net,jswtNq86sc,(383)143-7614,,Alebtong,false
user_laundry.jpg,nbuie4,Nealson,Buie,nbuie4@youtu.be,VN4qEIc,(955)547-7892,,Xiangjia,true
user_familymarket.jpg,ncuddi5,Nisse,Cuddi,ncuddi5@businesswire.com,xAdtcfclx5r6,(390)219-0136,,Aluminé,false
user_classroom.jpg,broofe6,Brear,Roofe,broofe6@unesco.org,Lxd6Niz6,(321)335-4239,,Banarankrajan,true
user_techcafe.jpg,ichard8,Idaline,Chard,ichard8@tripod.com,ftkIuf1p,(527)286-2646,,Valladolid,true
11,gwhellamsa,Goldy,Whellams,gwhellamsa@mapy.cz,c78pIKpB,(380)374-5587,189.19.183.243,Šuto Orizare,true
12,chulkb,Catherin,Hulk,chulkb@mayoclinic.com,U3Ul5w,3(140)295-6054,21.63.75.182,Trakai,false
13,coglec,Carree,Ogle,coglec@flavors.me,25FUHCjH,(995)349-3830,155.154.52.1,Tabuaço,true
14,bbiggsd,Barrie,Biggs,bbiggsd@shareasale.com,k8Y7hcP7Wdi,(199)608-4277,152.199.158.226,Radovitskiy,false
15,gzylberdike,Gaby,Zylberdik,gzylberdike@wordpress.org,ZWRyeNow,(971)268-8188,161.194.26.206,Klirou,true
16,ssketcherf,Sarette,Sketcher,ssketcherf@paypal.com,NK6pobROze,385-(990)334-5307,96.11.48.25,Jakšić,false
17,igodierg,Idell,Godier,igodierg@nasa.gov,Qz8i1xurFo,81-(806)654-6171,105.128.247.54,Itsukaichi,false
18,mgillilandh,Morgan,Gilliland,mgillilandh@time.com,xigot4JNtRaz,55-(619)244-9714,170.234.174.165,Plácido de Castro,false
19,dcoldhami,Donna,Coldham,dcoldhami@chicagotribune.com,h5Orx0cNsPn,1-(386)405-5760,213.252.10.25,Daytona Beach,true
21,epodmorek,Elwin,Podmore,epodmorek@vkontakte.ru,n2EkbFMDEX,66-(479)940-7141,16.185.143.138,Nong Saeng,true
22,adawidowitzl,Arlan,Dawidowitz,adawidowitzl@wiley.com,hJ3X7DMDeH,7-(496)537-4541,226.180.245.137,Shimorskoye,false
23,sgiffardm,Siobhan,Giffard,sgiffardm@jiathis.com,M7EmuAoYWGc,353-(265)582-8987,61.25.112.240,Lucan,true
24,shalesworthn,Stephine,Halesworth,shalesworthn@xing.com,81OS3to0B,381-(116)847-4927,6.137.47.143,Dublje,false
